State,recovery_rate,death_rate
Manipur,1.0000,0.0000
Haryana,1.0000,0.0000
Assam,1.0000,0.0000
Uttarakhand,1.0000,0.0000
Chandigarh,1.0000,0.0000
Odisha,1.0000,0.0000
Chhattisgarh,1.0000,0.0000
Ladakh,1.0000,0.0000
"Himachal Pradesh",1.0000,0.0000
Tripura,1.0000,0.0000
Bihar,1.0000,0.0000
"Jammu and Kashmir",0.9878,0.0122
Kerala,0.9863,0.0137
"Tamil Nadu",0.9854,0.0146
Delhi,0.9849,0.0151
Telangana,0.9701,0.0299
Karnataka,0.9595,0.0405
Rajasthan,0.9593,0.0407
Punjab,0.9592,0.0408
"Uttar Pradesh",0.9390,0.0610
Jharkhand,0.9286,0.0714
"Andhra Pradesh",0.9222,0.0778
Karnataka,0.8807,0.1189
Maharashtra,0.8513,0.1488
"Madhya Pradesh",0.8465,0.1535
"West Bengal",0.8431,0.1569
Karnataka,0.8352,0.1639
Gujarat,0.7027,0.2973
